,Rating,Star,Price
Regal Airport Hotel,8.0,5,2601
Empire Hotel Hong Kong - Wan Chai,7.7,4,
Hotel Jen Hong Kong by Shangri-La,8.4,4,
Holiday Inn Express Hong Kong Causeway Bay,7.7,3,1961
Page148 Boutique Hotel Tsim Sha Tsui,9.1,4,2937
Butterfly on LKF Boutique Hotel Central,8.4,4,3256
InterContinental Grand Stanford Hong Kong,8.6,5,3309
Holiday Inn Express Hong Kong Kowloon CBD2,8.7,3,
Sheraton Hong Kong Hotel & Towers,8.1,5,
The Peninsula Hong Kong,9.1,5,
Empire Hotel Causeway Bay,7.4,4,
Renaissance Hong Kong Harbour View Hotel,8.4,5,5250
Harbour Plaza Metropolis,7.7,4,2791
Mei Mei Motel,8.0,1,606
Hotel Benito,8.0,3,1852
Bishop Lei International House,7.7,4,1890
"Kerry Hotel, Hong Kong",9.1,5,
iclub Fortress Hill Hotel,7.7,4,1964
Camlux Hotel,8.1,4,2368
Hotel ICON,9.3,5,3784
Hong Kong SkyCity Marriott Hotel,8.2,5,2437
Two MacDonnell Road,8.6,4,2274
Hotel VIC on the Harbour,8.3,5,
Inn Hotel Hong Kong,8.0,3,
Best Western Hotel Causeway Bay,6.2,4,1919
Panda Hotel,7.8,4,1715
Grand Hyatt Hong Kong,9.0,5,
The Emperor Hotel,8.0,4,2056
"Cordis, Hong Kong",9.1,5,2529
Hotel Pravo Hong Kong,7.8,4,
Kowloon Shangri-La,8.9,5,
Tung Nam Lou,9.3,3,
99 Bonham,8.7,4,
Regal Kowloon Hotel,7.7,4,3101
L'hotel élan,8.1,4,
Novotel Century Hong Kong,7.9,4,2307
Hotel Panorama,7.6,4,2376
French - style cozy suite in POHO,,,
The Ritz-Carlton Hong Kong,9.2,5,5635
OZO Wesley Hong Kong,8.3,4,
Eaton HK,8.0,4,1839
iclub Sheung Wan Hotel,8.0,4,2360
The Jervois,8.9,5,
Lodgewood by L'hotel Mongkok Hong Kong,8.2,4,2664
Transit Resting Lounge by Aerotel (within restricted area),7.3,3,
Le Meridien Cyberport,8.4,5,
Prudential Hotel,7.8,4,
"Dorsett Wanchai, Hong Kong",7.7,5,1781
TUVE Hotel,8.6,4,2657
Harbour Grand Kowloon,8.2,5,2529
The Royal Garden,8.5,5,2834
Island Shangri-La Hong Kong,8.9,5,
"Pentahotel Hong Kong, Kowloon",8.3,4,1495
Silka Seaview Hotel,6.9,3,2008
The Mira Hong Kong,8.4,5,3101
W Hong Kong,8.8,5,
Four Seasons Hotel Hong Kong,9.2,5,
JW Marriott Hotel Hong Kong,8.9,5,5505
Toronto Inn,6.6,1,
iclub Wan Chai Hotel,7.8,4,2825
Conrad Hong Kong,8.6,5,5335
Comfort Hostel,7.7,1,
Hang Ho Hostel,8.2,1,
New World Millennium Hong Kong Hotel,8.6,5,
"Travelodge Central, Hollywood Road",8.0,3,2067
Atlas Hostel & Backpackers,7.7,1,
Park Hotel Hong Kong,8.2,4,
Royal Park Hotel,8.3,4,
Silka West Kowloon Hotel,7.0,3,1973
"Bay Bridge Lifestyle Retreat, managed by Tang’s Living",7.5,4,
Hilton Garden Inn Hong Kong Mongkok,8.0,4,2835
The Cityview,8.2,4,2322
Huge & Fantastic Private Residence,9.4,,
Hong Kong Ocean Park Marriott Hotel,8.6,5,
"Dorsett Tsuen Wan, Hong Kong",7.5,4,1865
South Pacific Hotel,7.7,4,
B P International,7.5,4,1988
Butterfly on Prat Boutique Hotel Tsim Sha Tsui,8.5,4,2804
The Harbourview,7.7,4,
Seaview Holiday Resort,7.6,3,
UP-OTEL,8.3,3,1839
"The Park Lane Hong Kong, a Pullman Hotel",8.3,5,
Citadines Mercer Hong Kong,8.4,4,2981
Regal Oriental Hotel,7.2,4,1464
Regal Hongkong Hotel,7.7,5,2377
iclub Ma Tau Wai Hotel,7.6,4,1757
Gorgeous hotel,5.8,1,
"Dorsett Mongkok, Hong Kong",8.1,4,
Kew Green Hotel Wanchai Hong Kong (Formerly Metropark Wanchai),8.4,4,
Butterfly on Wellington Boutique Hotel Central,8.7,4,3579
Hotel Indigo Hong Kong Island,8.7,4,3378
Mira Moon,8.3,5,
The Kowloon Hotel,7.5,4,
The Cove Hostel - Sea Ranch,7.6,1,
Charterhouse Causeway Bay,7.2,3,2650
Crowne Plaza Hong Kong Causeway Bay,8.5,5,
East Hong Kong,8.7,4,
One96,8.7,4,
Wharney Guang Dong Hong Kong,7.6,4,1823
Harbour Plaza 8 Degrees,7.4,4,1932
Best Deal 2RM3BD 620sqft BeautyShowroom in TST,,,
"Hyatt Regency Hong Kong, Sha Tin",8.3,5,
The Connaught,7.9,4,1920
Royal Plaza Hotel,8.7,5,2871
Rosedale Hotel Kowloon,7.6,4,1763
Cosmo Hotel Hong Kong,7.5,4,1488
Nathan Hotel,8.4,4,
Lan Kwai Fong Hotel @ Kau U Fong,7.9,4,3145
Ovolo Central,8.3,5,4578
Harbour Grand Hong Kong,8.3,5,2974
Travelodge Kowloon,7.7,3,2057
The Kimberley Hotel,7.2,4,2400
Marco Polo Hongkong Hotel,8.0,5,
Somerset Victoria Park Hong Kong,8.0,4,2248
The Langham Hong Kong,8.9,5,4043
Hotel Pennington by Rhombus,8.0,4,2667
Holiday Inn Golden Mile,7.9,4,2657
Golden Guest House,6.8,1,1511
Kowloon Harbourfront Hotel,7.6,4,
Butterfly on Morrison Boutique Hotel Causeway Bay,8.3,4,2545
Hotel 108,8.1,3,
Hotel Stage,9.1,4,2307
Metropark Hotel Causeway Bay Hong Kong,8.5,4,2154
Garden View Hong Kong,7.8,4,2786
InterContinental Hong Kong,9.0,5,4579
Gloucester Luk Kwok Hong Kong,8.5,4,2787
